tts,probe_candidate_id,case_id,primary_label,target,expected_record,heard_record,retained_in_restricted_score_check,reason,interpretation
MiMo,PCP2_0034,real_news_000421,confirmed masked,B-2,B二,B杠二,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0035,real_news_000405,confirmed masked,F-18,F十八,F杠十八,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0036,real_news_000009,confirmed masked,伊尔-76,伊尔七六,伊尔负七六,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0037,real_news_000322,confirmed masked,F-16,F16,F杠16,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0043,real_news_000376,confirmed masked,58kW,五十八千瓦,五十八KW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0056,real_news_000285,confirmed masked,190N·m,190牛·米,190N·M,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0062,real_news_000335,confirmed masked,750MW,七百五十兆瓦,七百五十兆W,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0064,real_news_000140,confirmed masked,737-8,七百三十 八,七三七负八,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0079,real_news_000261,confirmed masked,640kW,六百四十千瓦,六百四十kw,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0081,real_news_000027,confirmed masked,105kW,一百零五千瓦,一百零五kW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0082,real_news_000299,confirmed masked,200kW,二百千瓦,二百kW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0083,real_news_000096,confirmed masked,230kW,二百三十千瓦,二百三十kW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0084,real_news_000182,confirmed masked,150kW,一百五十千瓦,一百五十kw,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0085,real_news_000255,confirmed masked,15kW,十五千瓦,十五kW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0087,real_news_000368,confirmed masked,430kW,四百三十千瓦,四百三十kW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0090,real_news_000289,confirmed masked,180kW,180千瓦,180kW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0092,synthetic_004931,confirmed masked,500kW,五百千瓦,五百kw,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0093,synthetic_004984,confirmed masked,500kW,五百千瓦,五百kw,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0094,real_news_000243,confirmed masked,88VIP,八十八VIP,八十八伏IP,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0102,real_news_000272,confirmed masked,350Wh/kg,三百五十瓦时每公斤,三百五十whkg,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
MiMo,PCP2_0110,real_news_000193,confirmed masked,6GW,六吉瓦,六GW,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0001,real_news_000281,confirmed masked,13-11,十三比十一,十三减十一,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0003,real_news_000355,confirmed masked,6-2,六比二,六减二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0005,real_news_000429,confirmed masked,13-9,十三比九,十三减九,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0007,real_news_000447,confirmed masked,31-29,31比29,三十一减二十九,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0008,real_news_000350,confirmed masked,4-2,四比二,四减二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0010,real_news_000397,confirmed masked,0-1,零比一,零减一,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0011,real_news_000041,confirmed masked,2-4,二比四,二减四,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0012,real_news_000428,confirmed masked,1-0,一比零,一减零,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0013,real_news_000442,confirmed masked,4-1,四比一,四减一,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0014,real_news_000012,confirmed masked,3-0,三比零,三减零,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0017,real_news_000011,confirmed masked,4-3,四比三,四减三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0018,real_news_000026,confirmed masked,3-2,三比二,三减二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0019,real_news_000370,confirmed masked,2-1,二比一,二减一,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0020,real_news_000042,confirmed masked,1-3,一比三,一减三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0021,real_news_000279,confirmed masked,21-17, 21比17, 21减17,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0022,real_news_000280,confirmed masked,8-8,八比八,八减八,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0023,real_news_000341,confirmed masked,6-2,6比2,6减2,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0024,real_news_000349,confirmed masked,4-2,四比二,四减二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0025,real_news_000393,confirmed masked,1-0,一比零,一减零,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0026,real_news_000413,confirmed masked,0-3,零比三,零减三,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0027,real_news_000430,confirmed masked,1-2,一比二,一减二,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0028,real_news_000439,confirmed masked,3-0,三比零,三减零,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0029,real_news_000415,confirmed masked,F-35,F三五,F负三五,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0030,real_news_000472,confirmed masked,F-15E,F一五E,F负十五E,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0031,real_news_000473,confirmed masked,F-15E,F一五E、F十五E,F负十五E,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0033,real_news_000166,confirmed masked,运-20B,运二十B、运二零B,运负二十B,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0034,real_news_000421,confirmed masked,B-2,B 二,B负二,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0035,real_news_000405,confirmed masked,F-18,F十八,F负十八,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0037,real_news_000322,confirmed masked,F-16,F十六,F负十六,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0049,real_news_000211,confirmed masked,2030,二零三十,两千零三十,False,year_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0055,real_news_000128,confirmed masked,55%-60%,百分之五十五至百分之六十,百分之五十五负百分之六十,False,outside_two_number_score_scope,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0056,real_news_000285,confirmed masked,190N·m,190牛·米,190Nm,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0061,real_news_000141,confirmed masked,40-50%,四十到百分之五十,四十减百分之五十,False,outside_two_number_score_scope,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0062,real_news_000335,confirmed masked,2026至2028,二零二六至二零二八年,两千零二十六至二零二八年,False,year_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0064,real_news_000140,confirmed masked,737-8,七三七 八,七百三十七减八,False,model_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0065,real_news_000013,confirmed masked,2026至2028年,二零二六至二零二八年,二千零二十六至二零二八年,False,year_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0070,real_news_000006,confirmed masked,2023至2025年,二零二三到二零二五年,二千零二十三到二零二五年,False,year_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0075,real_news_000263,confirmed masked,5.5%-7.5%,百分之五点五到百分之七点五,百分之五点五负百分之七点五,False,outside_two_number_score_scope,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0077,real_news_000399,confirmed masked,3-0,三比零,三减零,True,score_relation_changed_with_operands_preserved,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0080,real_news_000291,confirmed masked,70kWh,七十千瓦时,七十千瓦h,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0081,real_news_000027,confirmed masked,200N·m,二百牛米,二百nm,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0082,real_news_000299,confirmed masked,57.545kWh,五十七点五四五千瓦时,五十七点五四五千瓦h,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0083,real_news_000096,confirmed masked,52.1kWh,五十二点一千瓦时,五十二点一千瓦h,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0086,real_news_000366,confirmed masked,500Nm,五百牛米,五零零nm,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0088,real_news_000174,confirmed masked,113kWh,一百一十三千瓦时,一百一十三千瓦h,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0091,real_news_000304,confirmed masked,45.06kWh,四十五点零六千瓦时,四十五点零六千瓦h,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0095,real_news_000352,confirmed masked,650V,六百五十伏,六五零v,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0096,real_news_000210,confirmed masked,900V,九百伏,九零零V,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0097,real_news_000259,confirmed masked,800V,八百伏,八零零V,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0100,real_news_000003,confirmed masked,420V,四百二十伏,四零零V,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
CosyVoice,PCP2_0101,real_news_000288,confirmed masked,900V,九百伏,九零零v,False,unit_or_membership_reading_conventions_excluded_from_restricted_check,Derived from saved listening notes; exclusion does not relabel a file as correct.
