case_id,source,matched_rule_families,raw_audio_available,included,exclusion_reason
real_news_000355,real_news,sports_score;generation_label;hyphen_range,True,True,
real_news_000370,real_news,sports_score;hyphen_range,True,True,
real_news_000376,real_news,quarter;hyphen_range;kw_kwh,True,True,
real_news_000378,real_news,,True,False,no_audit_rule_match
real_news_000393,real_news,sports_score;hyphen_range,True,True,
real_news_000397,real_news,sports_score;hyphen_range,True,True,
real_news_000399,real_news,hyphen_range,True,True,
real_news_000400,real_news,quarter,True,True,
real_news_000405,real_news,military_model,True,True,
real_news_000409,real_news,quarter,True,True,
real_news_000413,real_news,sports_score;hyphen_range,True,True,
real_news_000415,real_news,military_model,True,True,
real_news_000418,real_news,sports_score;hyphen_range,True,True,
real_news_000421,real_news,military_model,True,True,
real_news_000424,real_news,hyphen_range,True,True,
real_news_000428,real_news,sports_score;hyphen_range,True,True,
real_news_000429,real_news,sports_score;hyphen_range,True,True,
real_news_000430,real_news,sports_score;hyphen_range,True,True,
real_news_000434,real_news,sports_score;hyphen_range,True,True,
real_news_000435,real_news,military_model,True,True,
real_news_000439,real_news,sports_score;hyphen_range,True,True,
real_news_000442,real_news,sports_score;hyphen_range,True,True,
real_news_000447,real_news,sports_score;hyphen_range,True,True,
real_news_000451,real_news,voltage,True,True,
real_news_000456,real_news,quarter,True,True,
real_news_000472,real_news,military_model,True,True,
real_news_000473,real_news,military_model,True,True,
real_news_000478,real_news,quarter,True,True,
real_news_000007,real_news,,True,False,no_audit_rule_match
real_news_000017,real_news,,True,False,no_audit_rule_match
real_news_000024,real_news,,True,False,no_audit_rule_match
real_news_000125,real_news,tops_compute,True,True,
real_news_000149,real_news,,True,False,no_audit_rule_match
real_news_000157,real_news,tops_compute,True,True,
real_news_000168,real_news,,True,False,no_audit_rule_match
real_news_000169,real_news,,True,False,no_audit_rule_match
real_news_000174,real_news,kw_kwh,True,True,
real_news_000186,real_news,,True,False,no_audit_rule_match
real_news_000193,real_news,tops_compute,True,True,
real_news_000210,real_news,voltage,True,True,
real_news_000243,real_news,vip88,True,True,
real_news_000259,real_news,voltage,True,True,
real_news_000264,real_news,,True,False,no_audit_rule_match
real_news_000272,real_news,voltage,True,True,
real_news_000273,real_news,,True,False,no_audit_rule_match
real_news_000274,real_news,,True,False,no_audit_rule_match
real_news_000291,real_news,kw_kwh,True,True,
real_news_000294,real_news,,True,False,no_audit_rule_match
real_news_000295,real_news,,True,False,no_audit_rule_match
real_news_000301,real_news,,True,False,no_audit_rule_match
real_news_000308,real_news,,True,False,no_audit_rule_match
real_news_000311,real_news,,True,False,no_audit_rule_match
real_news_000329,real_news,,True,False,no_audit_rule_match
real_news_000330,real_news,voltage,True,True,
real_news_000333,real_news,,True,False,no_audit_rule_match
real_news_000334,real_news,,True,False,no_audit_rule_match
real_news_000336,real_news,,True,False,no_audit_rule_match
real_news_000337,real_news,,True,False,no_audit_rule_match
real_news_000352,real_news,voltage;tops_compute,True,True,
real_news_000364,real_news,,True,False,no_audit_rule_match
real_news_000381,real_news,,True,False,no_audit_rule_match
real_news_000406,real_news,,True,False,no_audit_rule_match
real_news_000416,real_news,,True,False,no_audit_rule_match
real_news_000002,real_news,tops_compute,True,True,
real_news_000003,real_news,voltage,True,True,
real_news_000004,real_news,,True,False,no_audit_rule_match
real_news_000008,real_news,,True,False,no_audit_rule_match
real_news_000016,real_news,,True,False,no_audit_rule_match
real_news_000020,real_news,,True,False,no_audit_rule_match
real_news_000027,real_news,kw_kwh;nm_torque,True,True,
real_news_000031,real_news,tops_compute,True,True,
real_news_000037,real_news,,True,False,no_audit_rule_match
real_news_000056,real_news,tops_compute,True,True,
real_news_000058,real_news,,True,False,no_audit_rule_match
real_news_000064,real_news,,True,False,no_audit_rule_match
real_news_000079,real_news,,True,False,no_audit_rule_match
real_news_000096,real_news,kw_kwh,True,True,
real_news_000105,real_news,,True,False,no_audit_rule_match
real_news_000182,real_news,kw_kwh;voltage,True,True,
real_news_000185,real_news,kw_kwh,True,True,
real_news_000255,real_news,kw_kwh;voltage,True,True,
real_news_000260,real_news,,True,False,no_audit_rule_match
real_news_000261,real_news,kw_kwh;nm_torque;voltage,True,True,
real_news_000288,real_news,voltage,True,True,
real_news_000289,real_news,kw_kwh,True,True,
real_news_000299,real_news,kw_kwh,True,True,
real_news_000303,real_news,,True,False,no_audit_rule_match
real_news_000304,real_news,kw_kwh,True,True,
real_news_000315,real_news,,True,False,no_audit_rule_match
real_news_000332,real_news,,True,False,no_audit_rule_match
real_news_000353,real_news,,True,False,no_audit_rule_match
real_news_000361,real_news,,True,False,no_audit_rule_match
real_news_000366,real_news,kw_kwh;nm_torque,True,True,
real_news_000368,real_news,kw_kwh;tops_compute,True,True,
real_news_000373,real_news,,True,False,no_audit_rule_match
real_news_000408,real_news,,True,False,no_audit_rule_match
real_news_000492,real_news,,True,False,no_audit_rule_match
real_news_000498,real_news,,True,False,no_audit_rule_match
synthetic_004465,synthetic,,True,False,no_audit_rule_match
synthetic_004466,synthetic,,True,False,no_audit_rule_match
synthetic_004480,synthetic,,True,False,no_audit_rule_match
synthetic_004481,synthetic,,True,False,no_audit_rule_match
synthetic_004498,synthetic,,True,False,no_audit_rule_match
synthetic_004503,synthetic,,True,False,no_audit_rule_match
synthetic_004516,synthetic,,True,False,no_audit_rule_match
synthetic_004539,synthetic,,True,False,no_audit_rule_match
synthetic_004558,synthetic,,True,False,no_audit_rule_match
synthetic_004578,synthetic,,True,False,no_audit_rule_match
synthetic_004583,synthetic,,True,False,no_audit_rule_match
synthetic_004585,synthetic,,True,False,no_audit_rule_match
synthetic_004613,synthetic,,True,False,no_audit_rule_match
synthetic_004662,synthetic,,True,False,no_audit_rule_match
synthetic_004679,synthetic,,True,False,no_audit_rule_match
synthetic_004701,synthetic,,True,False,no_audit_rule_match
synthetic_004707,synthetic,,True,False,no_audit_rule_match
synthetic_004710,synthetic,,True,False,no_audit_rule_match
synthetic_004733,synthetic,,True,False,no_audit_rule_match
synthetic_004736,synthetic,,True,False,no_audit_rule_match
synthetic_004737,synthetic,,True,False,no_audit_rule_match
synthetic_004747,synthetic,,True,False,no_audit_rule_match
synthetic_004765,synthetic,,True,False,no_audit_rule_match
synthetic_004771,synthetic,,True,False,no_audit_rule_match
synthetic_004802,synthetic,,True,False,no_audit_rule_match
synthetic_004806,synthetic,,True,False,no_audit_rule_match
synthetic_004820,synthetic,,True,False,no_audit_rule_match
synthetic_004821,synthetic,,True,False,no_audit_rule_match
synthetic_004831,synthetic,,True,False,no_audit_rule_match
synthetic_004844,synthetic,,True,False,no_audit_rule_match
synthetic_004906,synthetic,,True,False,no_audit_rule_match
synthetic_004909,synthetic,,True,False,no_audit_rule_match
synthetic_004926,synthetic,,True,False,no_audit_rule_match
synthetic_004931,synthetic,kw_kwh,True,True,
synthetic_004940,synthetic,,True,False,no_audit_rule_match
synthetic_004942,synthetic,,True,False,no_audit_rule_match
synthetic_004946,synthetic,,True,False,no_audit_rule_match
synthetic_004948,synthetic,,True,False,no_audit_rule_match
synthetic_004955,synthetic,,True,False,no_audit_rule_match
synthetic_004960,synthetic,,True,False,no_audit_rule_match
synthetic_004973,synthetic,,True,False,no_audit_rule_match
synthetic_004984,synthetic,kw_kwh,True,True,
synthetic_004985,synthetic,,True,False,no_audit_rule_match
synthetic_004989,synthetic,,True,False,no_audit_rule_match
synthetic_004997,synthetic,,True,False,no_audit_rule_match
