probe_candidate_id,case_id,freeze_id,primary_type,target_span,expected_reading,raw_tts_actual_reading,isolated_asr_text,isolated_asr_label,reviewed_isolated_asr_label,reviewed_exposure_strength,reviewed_label_note,alignment_method,alignment_candidate,aligned_clip_start_seconds,aligned_clip_end_seconds,aligned_clip_duration_seconds,clip_audio_path
PCP2_0017,real_news_000011,P1P2_005,sports_score,4-3,四比三,四至三,张本美和四比三逆转蒯曼夺冠,still_masked,still_masked,,outputs 四比三,candidate_match,4-3,0.0,3.0,3.0,audio/span_isolation_aligned_clips/PCP2_0017_real_news_000011_4-3_aligned.wav
PCP2_0018,real_news_000026,P1P2_015,sports_score,11-7,十一比七,十一至七,八至十一，十一至七，十三至十一,exposed,exposed,strong,outputs 十一至七,nearest_chunk_fallback,,13.67,16.67,3.0,audio/span_isolation_aligned_clips/PCP2_0018_real_news_000026_11-7_aligned.wav
PCP2_0019,real_news_000370,P1P2_059,sports_score,2-1,二比一,二至一,阿奎罗头球破门 帕雷霍和卡利亚里二之一取胜,other_transcript,exposed,strong,"outputs 二之一, a non-score reading close to 二至一",candidate_match,2-1,18.115,21.115,3.0,audio/span_isolation_aligned_clips/PCP2_0019_real_news_000370_2-1_aligned.wav
PCP2_0020,real_news_000042,P1P2_018,sports_score,4-3,四比三,四至三,魔术大比分四至三晋级次轮成为,exposed,exposed,strong,outputs 四至三,candidate_match,4至3,14.015,17.015,3.0,audio/span_isolation_aligned_clips/PCP2_0020_real_news_000042_4-3_aligned.wav
PCP2_0021,real_news_000279,P1P2_041,sports_score,21-17,21比17,21至17,比赛中，以二十一至十七、二十一至十,other_transcript,exposed,strong,outputs 二十一至十七,candidate_match,21-17,16.193,19.193,3.0,audio/span_isolation_aligned_clips/PCP2_0021_real_news_000279_21-17_aligned.wav
PCP2_0023,real_news_000341,P1P2_054,sports_score,6-2,6比2,6至2,,no_output,no_output,,empty isolated ASR output,candidate_match,6-2,0.864,3.864,3.0,audio/span_isolation_aligned_clips/PCP2_0023_real_news_000341_6-2_aligned.wav
PCP2_0024,real_news_000349,P1P2_056,sports_score,4-2,四比二,四至二,,no_output,no_output,,empty isolated ASR output,candidate_match,4-2,0.0,3.0,3.0,audio/span_isolation_aligned_clips/PCP2_0024_real_news_000349_4-2_aligned.wav
PCP2_0026,real_news_000413,P1P2_068,sports_score,0-3,零比三,零至三,决赛首回合零至三惨败水晶宫,exposed,exposed,strong,outputs 零至三,candidate_match,0-3,6.54,9.54,3.0,audio/span_isolation_aligned_clips/PCP2_0026_real_news_000413_0-3_aligned.wav
PCP2_0027,real_news_000430,P1P2_075,sports_score,96-113,九十六比一百一十三,九十六至一百一十三,,no_output,no_output,,empty isolated ASR output,candidate_match,96-113,22.679,25.679,3.0,audio/span_isolation_aligned_clips/PCP2_0027_real_news_000430_96-113_aligned.wav
PCP2_0028,real_news_000439,P1P2_078,sports_score,3-0,3比0,3至0,中国女足三至零完胜乌兹别克,other_transcript,exposed,strong,outputs 三至零,candidate_match,三至零,7.827,10.827,3.0,audio/span_isolation_aligned_clips/PCP2_0028_real_news_000439_3-0_aligned.wav
PCP2_0029,real_news_000415,P1P2_069,military_model,F-35,F三五,F杠三五,包括F杠三五、F杠一五,exposed,exposed,strong,outputs F杠三五,candidate_match,F-35,22.038,25.038,3.0,audio/span_isolation_aligned_clips/PCP2_0029_real_news_000415_F-35_aligned.wav
PCP2_0030,real_news_000472,P1P2_083,military_model,F-15E,F一五E,F杠一五E,,no_output,no_output,,empty isolated ASR output,candidate_match,F-15E,4.198,7.198,3.0,audio/span_isolation_aligned_clips/PCP2_0030_real_news_000472_F-15E_aligned.wav
PCP2_0031,real_news_000473,P1P2_084,military_model,F-15E,F一五E,F杠一五E,,no_output,no_output,,empty isolated ASR output,nearest_chunk_fallback,,4.78,8.26,3.48,audio/span_isolation_aligned_clips/PCP2_0031_real_news_000473_F-15E_aligned.wav
PCP2_0032,real_news_000435,P1P2_077,military_model,F-35,F三五,F杠三五,击落美军F-35战机及多架。,still_masked,still_masked,,outputs F-35,candidate_match,F-35,37.787,40.787,3.0,audio/span_isolation_aligned_clips/PCP2_0032_real_news_000435_F-35_aligned.wav
PCP2_0033,real_news_000166,P1P2_032,military_model,运-20B,运二零B,运负二十B,歼二零运辅二十B空中对话护送廖,other_transcript,exposed,strong,"outputs 运辅二十B, exposing fu/二十 instead of 运二零B",nearest_chunk_fallback,,0.0,3.3,3.3,audio/span_isolation_aligned_clips/PCP2_0033_real_news_000166_运-20B_aligned.wav
PCP2_0034,real_news_000421,P1P2_071,military_model,B-2,B二,B杠二,用F杠三五B杠二轰炸机等打击,exposed,exposed,strong,outputs B杠二,candidate_match,B-2,37.633,40.633,3.0,audio/span_isolation_aligned_clips/PCP2_0034_real_news_000421_B-2_aligned.wav
PCP2_0035,real_news_000405,P1P2_066,military_model,F-18,F十八,F杠十八,声称击落美军F-18战机，美军,still_masked,still_masked,,outputs F-18,candidate_match,F-18,41.634,44.634,3.0,audio/span_isolation_aligned_clips/PCP2_0035_real_news_000405_F-18_aligned.wav
PCP2_0036,real_news_000009,P1P2_004,military_model,伊尔-76,伊尔七六,伊尔负七六,二零一五年起，空军伊尔负七十六运输机连续五年接运，再到,exposed,exposed,strong,outputs 伊尔负七十六,nearest_chunk_fallback,,23.44,28.8,5.36,audio/span_isolation_aligned_clips/PCP2_0036_real_news_000009_伊尔-76_aligned.wav
PCP2_0037,real_news_000322,P1P2_051,military_model,F-16,F16,F杠16,在中东F杠十六和A杠十,other_transcript,exposed,strong,outputs F杠十六,candidate_match,F-16,19.756,22.756,3.0,audio/span_isolation_aligned_clips/PCP2_0037_real_news_000322_F-16_aligned.wav
PCP2_0043,real_news_000376,P1P2_060,quarter,58kW,五十八千瓦,五十八KW,,no_output,no_output,,empty isolated ASR output,candidate_match,58kW,24.443,27.443,3.0,audio/span_isolation_aligned_clips/PCP2_0043_real_news_000376_58kW_aligned.wav
PCP2_0056,real_news_000285,P1P2_044,hyphen_range,190N·m,190牛·米,190N·M,是KW，最大扭矩一百九十人弹万，驾驶体,other_transcript,other_transcript,,does not clearly recover 190N·M or 190牛·米,nearest_chunk_fallback,,38.92,42.5,3.58,audio/span_isolation_aligned_clips/PCP2_0056_real_news_000285_190N_m_aligned.wav
PCP2_0062,real_news_000335,P1P2_053,hyphen_range,750MW,七百五十兆瓦,七百五十兆W,七百五十兆W规模的SIRIBUS芯片,exposed,exposed,strong,outputs 七百五十兆W,nearest_chunk_fallback,,12.0,15.0,3.0,audio/span_isolation_aligned_clips/PCP2_0062_real_news_000335_750MW_aligned.wav
PCP2_0064,real_news_000140,P1P2_027,hyphen_range,737-8,七百三十 八,七三七负八,五十架波音七三七杠八机队规模,other_transcript,still_masked,,outputs accepted aircraft-model variant 七三七杠八 rather than the human-heard 七三七负八,candidate_match,737-8,1.021,4.021,3.0,audio/span_isolation_aligned_clips/PCP2_0064_real_news_000140_737-8_aligned.wav
PCP2_0079,real_news_000261,P1P2_140,kw_kwh,640kW,六百四十千瓦,六百四十kw,,no_output,no_output,,empty isolated ASR output,candidate_match,640kW,19.226,22.226,3.0,audio/span_isolation_aligned_clips/PCP2_0079_real_news_000261_640kW_aligned.wav
PCP2_0081,real_news_000027,P1P2_127,kw_kwh,105kW,一百零五千瓦,一百零五kW,最大功率一百零五千瓦 最大扭,still_masked,still_masked,,outputs 一百零五千瓦,candidate_match,105kW,29.88,32.88,3.0,audio/span_isolation_aligned_clips/PCP2_0081_real_news_000027_105kW_aligned.wav
PCP2_0082,real_news_000299,P1P2_143,kw_kwh,200kW,二百千瓦,二百kW,系统提供二百千瓦和二百四十千瓦,still_masked,still_masked,,outputs 二百千瓦,candidate_match,200kW,37.508,40.508,3.0,audio/span_isolation_aligned_clips/PCP2_0082_real_news_000299_200kW_aligned.wav
PCP2_0083,real_news_000096,P1P2_134,kw_kwh,230kW,二百三十千瓦,二百三十kW,发动机和二百三十千瓦电动机,still_masked,still_masked,,outputs 二百三十千瓦,candidate_match,230kW,30.353,33.353,3.0,audio/span_isolation_aligned_clips/PCP2_0083_real_news_000096_230kW_aligned.wav
PCP2_0084,real_news_000182,P1P2_136,kw_kwh,150kW,一百五十千瓦,一百五十kw,,no_output,no_output,,empty isolated ASR output,candidate_match,150kW,16.15,19.15,3.0,audio/span_isolation_aligned_clips/PCP2_0084_real_news_000182_150kW_aligned.wav
PCP2_0085,real_news_000255,P1P2_138,kw_kwh,15kW,十五千瓦,十五kW,供电功率达十五KW。,exposed,exposed,strong,outputs 十五KW,candidate_match,15kW,6.1,9.1,3.0,audio/span_isolation_aligned_clips/PCP2_0085_real_news_000255_15kW_aligned.wav
PCP2_0087,real_news_000368,P1P2_151,kw_kwh,430kW,四百三十千瓦,四百三十kW,,no_output,no_output,,empty isolated ASR output,candidate_match,430kW,25.764,28.764,3.0,audio/span_isolation_aligned_clips/PCP2_0087_real_news_000368_430kW_aligned.wav
PCP2_0090,real_news_000289,P1P2_142,kw_kwh,180kW,180千瓦,180kW,,no_output,no_output,,empty isolated ASR output,candidate_match,180kW,20.407,23.407,3.0,audio/span_isolation_aligned_clips/PCP2_0090_real_news_000289_180kW_aligned.wav
PCP2_0092,synthetic_004931,P1P2_189,kw_kwh,500kW,五百千瓦,五百kw,新车关键参数达到五百K,other_transcript,exposed,partial,"partial unit-letter exposure: outputs 五百K, not 五百千瓦",nearest_chunk_fallback,,0.0,3.0,3.0,audio/span_isolation_aligned_clips/PCP2_0092_synthetic_004931_500kW_aligned.wav
PCP2_0093,synthetic_004984,P1P2_197,kw_kwh,500kW,五百千瓦,五百kw,新车关键参数达到五百K D,other_transcript,exposed,partial,"partial unit-letter exposure: outputs 五百K D, not 五百千瓦",nearest_chunk_fallback,,0.0,3.0,3.0,audio/span_isolation_aligned_clips/PCP2_0093_synthetic_004984_500kW_aligned.wav
PCP2_0094,real_news_000243,P1P2_098,vip88,88VIP,八十八VIP,八十八伏IP,同比大增百分之五十六 助力八十八分,other_transcript,other_transcript,,does not clearly recover 八十八伏IP or 八十八VIP,nearest_chunk_fallback,,24.88,27.88,3.0,audio/span_isolation_aligned_clips/PCP2_0094_real_news_000243_88VIP_aligned.wav
PCP2_0102,real_news_000272,P1P2_101,voltage,350Wh/kg,三百五十瓦时每公斤,三百五十whkg,其中，固态电池能量密度将达三百五十瓦时每公斤，续航超一千公里，充电十二分钟达百分之八十。在零下三十度环境下仍能正常工作，安全性、成本、性能实现平衡。,still_masked,still_masked,,outputs 三百五十瓦时每公斤,nearest_chunk_fallback,,31.94,37.56,5.62,audio/span_isolation_aligned_clips/PCP2_0102_real_news_000272_350Wh_kg_aligned.wav
PCP2_0110,real_news_000193,P1P2_096,tops_compute,6GW,六吉瓦,六GW,算力规模约六G W已累计交付,exposed,exposed,strong,outputs 六G W,candidate_match,6GW,43.053,46.053,3.0,audio/span_isolation_aligned_clips/PCP2_0110_real_news_000193_6GW_aligned.wav
