item_id,audio_scope,tts_system,probe_candidate_id,case_id,human_audit_outcome,cdrd_label,primary_type,target_span,expected_reading,human_heard_reading,surface_hits,negative_hits,automatic_asr_relation,requires_transcript_review,reviewed_paraformer_relation,transcript_review_note,asr_text,error
mimo_full_PCP2_0017,full_sentence,MiMo-V2.5-TTS API,PCP2_0017,real_news_000011,confirmed masked,cdrd_entity,sports_score,4-3,四比三,四至三,四比三,四至三,surface_and_negative,True,wrong_or_noncanonical_form_preserved,audited occurrence is 四至三; 四比三 occurs later,张 本 美 和 四 至 三 逆 转 快 慢 夺 WTT 第 九 冠 WTT 重 庆 冠 军 赛 女 单 决 赛 中 十 七 岁 的 日 本 选 手 张 本 美 和 以 四 比 三 逆 转 中 国 选 手 快 曼 夺 得 冠 军 七 局 比 分 为 六 比 十 一 十 一 至 九 十 一 至 七 九 至 十 一 六 至 十 一 十 一 至 九 五 至 十 一 这 是 张 本 美 和 首 次 获 得 WTT 冠 军 赛 冠 军 也 是 其 职 业 生 涯 第 九 个 WTT 冠 军 世 界 排 名 第 五 的 快 慢 在 赛 前 体 能 消 耗 较 大 比 张 本 美 和 多 打 一 轮 比 赛 且 晋 级 过 程 中 战 胜 了 孙 颖 莎 王 一 迪 等 强 手 决 胜 局 张 本 美 和 以 十 一 至 五 锁 定 胜 利,
mimo_full_PCP2_0018,full_sentence,MiMo-V2.5-TTS API,PCP2_0018,real_news_000026,confirmed masked,cdrd_entity,sports_score,11-7,十一比七,十一至七,,十一至七,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,陈 俊 松 险 胜 林 兆 恒 仍 出 局 亚 洲 杯 十 六 强 无 缘 在 二 零 二 六 年 亚 洲 杯 男 单 循 环 赛 中 陈 俊 松 以 三 比 二 险 胜 林 兆 恒 五 局 比 分 为 十 一 比 五 六 至 十 一 八 至 十 一 十 一 至 七 十 三 至 十 一 尽 管 取 得 胜 利 陈 俊 松 仍 无 缘 十 六 强 因 雨 田 幸 使 以 三 比 一 击 败 黄 奇 身 比 赛 过 程 跌 宕 起 伏 陈 俊 松 在 第 一 局 和 第 四 局 表 现 出 色 但 第 二 三 局 落 入 下 风 决 胜 局 中 他 顽 强 拒 绝 对 手 逆 转 最 终 以 十 三 至 十 一 艰 难 取 胜,
mimo_full_PCP2_0019,full_sentence,MiMo-V2.5-TTS API,PCP2_0019,real_news_000370,confirmed masked,cdrd_entity,sports_score,2-1,二比一,二至一,二比一,二至一,surface_and_negative,True,wrong_or_noncanonical_form_preserved,audited occurrence is 二至一; 二比一 is a later score,卡 利 亚 里 主 场 迎 战 莱 切 意 甲 保 吉 大 战 一 触 即 发 意 甲 第 二 十 五 轮 补 赛 将 在 多 莫 斯 竞 技 场 上 演 卡 利 亚 里 主 场 迎 战 莱 切 卡 利 亚 里 基 二 十 八 分 莱 切 积 二 十 一 分 两 队 均 为 保 吉 而 战 首 回 合 卡 利 亚 里 二 至 一 取 胜 卡 利 亚 里 近 期 主 场 表 现 出 色 曾 击 败 罗 马 和 尤 文 莱 切 上 轮 二 比 一 战 胜 乌 迪 内 斯 结 束 八 轮 不 胜 两 队 都 将 以 四 月 二 日 至 三 月 一 日 阵 型 出 战 比 赛 将 于 当 地 时 间 二 十 点 四 十 五 分 开 始,
mimo_full_PCP2_0020,full_sentence,MiMo-V2.5-TTS API,PCP2_0020,real_news_000042,confirmed masked,cdrd_entity,sports_score,4-3,四比三,四至三,,四至三,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,活 塞 一 比 三 落 后 抢 七 逆 转 魔 术 晋 级 坎 宁 安 场 均 三 十 六 加 七 加 创 队 史 二 十 三 年 神 迹 北 京 时 间 五 月 四 日 NBA 季 后 赛 活 塞 主 场 一 百 一 十 六 比 九 十 四 大 胜 魔 术 大 比 分 四 至 三 晋 级 次 轮 成 为 历 史 第 十 五 支 一 比 三 落 后 逆 转 晋 级 的 球 队 坎 宁 安 系 列 赛 场 均 三 十 二 点 四 分 五 点 七 篮 板 七 点 一 助 攻 在 一 比 三 落 后 时 场 均 砍 下 三 十 六 点 三 分 乱 队 完 成 抢 七 逆 转 这 是 活 塞 自 二 零 零 三 年 后 时 隔 二 十 三 年 再 次 一 比 三 落 后 魔 术 逆 转 也 是 球 队 二 零 零 八 年 后 首 次 赢 得 系 列 赛 并 晋 级 次 轮,
mimo_full_PCP2_0021,full_sentence,MiMo-V2.5-TTS API,PCP2_0021,real_news_000279,confirmed masked,cdrd_entity,sports_score,21-17,21比17,21至17,,,no_predefined_form,True,wrong_or_noncanonical_form_preserved,audited occurrence is 二十一至十七,国 羽 三 比 一 击 败 印 度 锁 定 汤 杯 小 组 第 一 何 继 廷 任 翔 宇 直 落 两 局 奏 开 二 零 二 六 汤 姆 斯 杯 小 组 赛 中 国 羽 三 之 一 力 克 印 度 队 成 功 锁 定 小 组 第 一 何 继 廷 任 翔 宇 在 二 双 比 赛 中 以 二 十 一 至 十 七 二 十 一 至 十 三 直 落 两 局 击 败 对 手 此 前 李 世 峰 梁 尾 坑 王 场 分 别 在 一 单 和 一 双 取 胜 汪 洪 扬 二 单 失 利 明 日 十 六 点 三 十 分 将 进 行 淘 汰 赛 抽 签 另 外 汤 杯 b 组 日 本 队 三 比 二 险 胜 马 来 西 亚 以 小 组 第 一 晋 级 淘 汰 赛,
mimo_full_PCP2_0023,full_sentence,MiMo-V2.5-TTS API,PCP2_0023,real_news_000341,confirmed masked,cdrd_entity,sports_score,6-2,6比2,6至2,,,no_predefined_form,True,wrong_or_noncanonical_form_preserved,audited occurrence is 六至二,吴 一 泽 遭 艾 伦 五 连 鞭 从 六 至 二 被 追 成 七 比 七 史 诗 百 分 钟 局 止 颓 斯 诺 克 世 锦 赛 半 决 赛 吴 一 泽 首 阶 段 六 比 二 领 先 马 克 艾 伦 第 二 阶 段 吴 一 泽 手 感 下 滑 艾 伦 连 赢 五 局 完 成 反 超 期 间 轰 出 单 杆 一 百 四 十 五 分 刷 新 本 届 世 锦 赛 单 杆 最 高 分 绝 境 中 吴 一 则 鏖 战 一 百 分 钟 拿 下 史 诗 级 拉 锯 局 创 造 世 锦 赛 正 赛 最 长 单 局 时 长 纪 录 终 结 连 败 势 头 双 方 目 前 七 比 七 战 平 第 三 阶 段 比 赛 今 天 下 午 十 七 点 继 续 进 行,
mimo_full_PCP2_0024,full_sentence,MiMo-V2.5-TTS API,PCP2_0024,real_news_000349,confirmed masked,cdrd_entity,sports_score,4-2,四比二,四至二,,四至二,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,王 曼 玉 四 至 二 逆 转 身 豫 斌 挺 进 决 赛 北 京 时 间 四 月 五 日 二 零 二 六 赛 季 澳 门 世 界 杯 女 单 半 决 赛 二 号 种 子 王 曼 玉 对 阵 韩 国 一 姐 申 玉 斌 比 赛 中 王 曼 玉 首 局 十 一 至 八 取 胜 后 连 丢 两 局 以 一 比 二 落 后 随 后 他 果 断 调 整 战 术 连 扳 三 局 最 终 以 四 至 二 逆 转 战 胜 申 玉 斌 成 功 晋 级 决 赛 今 晚 十 九 点 三 十 分 王 曼 玉 将 与 头 号 种 子 孙 颖 莎 会 师 决 赛 争 夺 本 届 澳 门 世 界 杯 女 单 冠 军,
mimo_full_PCP2_0026,full_sentence,MiMo-V2.5-TTS API,PCP2_0026,real_news_000413,confirmed masked,cdrd_entity,sports_score,0-3,零比三,零至三,,零至三,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,德 赫 亚 复 盘 惨 败 水 晶 宫 强 调 开 局 失 误 致 命 佛 罗 伦 萨 在 欧 协 联 八 分 之 一 决 赛 首 回 合 零 至 三 惨 败 水 晶 宫 门 将 德 赫 亚 赛 后 复 盘 指 出 球 队 开 局 二 十 至 三 十 分 钟 表 现 糟 糕 面 对 英 超 球 队 过 早 丢 掉 两 球 使 致 命 失 误 终 场 前 第 三 个 失 球 更 让 人 沮 丧 他 承 认 英 超 在 资 源 和 设 施 上 领 先 一 甲 他 认 为 下 半 场 球 队 表 现 不 错 若 能 把 握 进 球 机 会 比 赛 或 有 转 机 德 赫 亚 表 示 次 回 合 将 在 主 场 力 争 三 至 零 逆 转 同 时 强 调 要 专 注 联 赛 尽 快 远 离 降 级 区,
mimo_full_PCP2_0027,full_sentence,MiMo-V2.5-TTS API,PCP2_0027,real_news_000430,confirmed masked,cdrd_entity,sports_score,96-113,九十六比一百一十三,九十六至一百一十三,,九十六至一百一十三,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,阿 隆 戈 登 将 带 伤 出 战 掘 金 g 四 客 战 森 林 狼 球 队 一 比 二 落 后 判 扳 平 北 京 时 间 四 月 二 十 六 日 据 ESPN 名 记 沙 案 子 报 道 掘 金 大 前 锋 阿 隆 戈 登 将 带 伤 复 出 出 战 季 后 赛 首 轮 第 四 场 客 战 森 林 狼 的 比 赛 此 前 g 三 比 赛 中 三 十 岁 的 戈 登 因 小 腿 受 伤 缺 阵 掘 金 以 九 十 六 至 一 百 一 十 三 惨 败 目 前 大 比 分 一 比 二 落 后 今 天 g 四 比 赛 北 京 时 间 周 日 八 点 三 十 分 开 打 对 于 掘 金 扳 平 系 列 赛 至 关 重 要,
mimo_full_PCP2_0028,full_sentence,MiMo-V2.5-TTS API,PCP2_0028,real_news_000439,confirmed masked,cdrd_entity,sports_score,3-0,3比0,3至0,,,no_predefined_form,True,wrong_or_noncanonical_form_preserved,audited occurrence is 三至零,女 足 末 伦 战 朝 鲜 争 夺 小 组 头 名 北 京 时 间 三 月 六 日 女 足 亚 洲 杯 小 组 赛 第 二 轮 中 国 女 足 三 至 零 完 胜 乌 兹 别 克 斯 坦 提 前 锁 定 小 组 出 线 目 前 朝 鲜 女 足 五 比 零 大 胜 孟 加 拉 国 而 中 国 女 足 仅 以 二 至 零 取 胜 目 前 中 国 女 足 因 净 胜 求 劣 势 暂 列 小 组 第 二 小 组 末 伦 中 国 女 足 将 于 北 京 时 间 三 月 九 日 十 七 点 直 接 对 阵 朝 鲜 女 足 获 胜 即 可 以 小 组 头 名 出 现,
mimo_full_PCP2_0029,full_sentence,MiMo-V2.5-TTS API,PCP2_0029,real_news_000415,confirmed masked,cdrd_entity,military_model,F-35,F三五,F杠三五,,F杠三五,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,美 军 营 救 飞 行 员 失 败 多 架 飞 机 被 击 落 伊 朗 媒 体 报 道 称 美 军 营 救 飞 行 员 行 动 失 败 两 架 黑 鹰 直 升 机 和 一 架 c 杠 一 三 零 运 输 机 被 击 落 伊 朗 民 众 纷 纷 拿 枪 上 山 搜 寻 美 军 飞 行 员 部 落 武 装 也 参 与 行 动 伊 朗 军 方 称 开 战 以 来 击 落 多 架 美 军 战 机 包 括 f 杠 三 五 f 杠 一 五 一 等 装 备 损 失 超 过 二 十 一 亿 美 元 特 朗 普 威 胁 对 伊 朗 实 施 四 十 八 小 时 最 后 通 牒 并 抨 击 纽 约 时 报 和 北 约 伊 朗 回 应 称 这 反 映 了 美 方 的 无 助 和 紧 张 战 争 已 导 致 伊 朗 两 千 多 人 丧 生,
mimo_full_PCP2_0030,full_sentence,MiMo-V2.5-TTS API,PCP2_0030,real_news_000472,confirmed masked,cdrd_entity,military_model,F-15E,F一五E,F杠一五E,,F杠一五E,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,美 军 搜 救 行 动 损 失 十 二 架 战 机 代 价 惨 重 美 军 一 架 f 杠 一 五 e 战 斗 机 在 对 伊 朗 空 袭 任 务 中 被 击 落 两 名 飞 行 员 弹 射 跳 伞 后 美 伊 双 方 展 开 激 烈 搜 救 与 抓 捕 竞 赛 特 朗 普 宣 布 飞 行 员 获 救 且 无 人 员 伤 亡 但 伊 朗 军 方 公 布 美 军 在 搜 救 行 动 中 损 失 十 二 架 各 式 战 机 包 括 运 输 机 攻 击 机 直 升 机 和 无 人 机 美 方 被 迫 自 毁 无 法 起 飞 的 运 输 机 和 直 升 机 损 失 数 亿 美 元 装 备 此 次 事 件 暴 露 出 美 军 空 袭 作 战 问 题 伊 朗 防 空 能 力 仍 具 危 险 后 续 行 动 风 险 加 大,
mimo_full_PCP2_0031,full_sentence,MiMo-V2.5-TTS API,PCP2_0031,real_news_000473,confirmed masked,cdrd_entity,military_model,F-15E,F一五E,F杠一五E,,,no_predefined_form,True,wrong_or_noncanonical_form_preserved,audited occurrence retains 杠 in F杠幺五E,美 军 营 救 飞 行 员 出 动 一 百 五 十 五 架 飞 机 炸 毁 两 架 运 输 机 美 军 营 救 被 击 落 f 杠 幺 五 e 战 斗 机 第 二 名 飞 行 员 的 行 动 持 续 五 十 多 小 时 出 动 一 百 五 十 五 架 各 类 飞 机 和 数 百 名 人 员 特 朗 普 透 露 两 架 陷 入 沙 地 的 运 输 机 被 迫 炸 毁 以 防 先 进 装 备 落 入 伊 朗 手 中 此 次 行 动 中 美 军 一 架 a 杠 幺 零 攻 击 机 被 击 落 多 架 直 升 机 受 损 伊 朗 搜 捕 人 员 一 度 距 飞 行 员 藏 身 地 不 到 三 公 里 保 守 估 计 美 军 在 此 次 行 动 中 的 飞 机 损 失 超 过 四 亿 美 元 堪 称 美 国 历 史 上 最 大 胆 的 搜 救 行 动 之 一,
mimo_full_PCP2_0032,full_sentence,MiMo-V2.5-TTS API,PCP2_0032,real_news_000435,confirmed masked,cdrd_entity,military_model,F-35,F三五,F杠三五,,F杠三五,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,美 伊 最 后 通 牒 倒 计 时 宜 称 击 落 美 战 机 美 伊 冲 突 进 入 第 三 十 六 天 距 特 朗 普 设 定 的 四 月 六 日 最 后 期 限 仅 剩 两 天 特 朗 普 警 告 伊 朗 四 十 八 小 时 内 可 能 采 取 进 一 步 行 动 并 称 在 德 黑 兰 袭 击 中 打 死 多 名 伊 朗 军 事 领 导 人 以 色 列 空 袭 伊 朗 石 化 设 施 造 成 五 人 死 亡 一 百 七 十 人 受 伤 内 塔 尼 亚 胡 称 以 摧 毁 伊 朗 约 百 分 之 七 十 钢 铁 产 能 并 等 待 美 国 批 准 袭 击 伊 朗 能 源 设 施 伊 朗 发 动 第 九 十 五 轮 打 击 行 动 称 使 用 新 型 防 空 系 统 击 落 美 军 f 杠 三 五 战 机 及 多 架 无 人 机 并 打 击 地 区 内 多 个 美 伊 军 事 目 标,
mimo_full_PCP2_0033,full_sentence,MiMo-V2.5-TTS API,PCP2_0033,real_news_000166,confirmed masked,cdrd_entity,military_model,运-20B,运二零B,运负二十B,,运负二十B | 运负二十,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,歼 二 零 运 赴 二 十 b 空 中 对 话 护 送 烈 士 归 国 四 月 二 十 二 日 上 午 赴 韩 接 营 第 十 三 批 在 韩 志 愿 军 烈 士 遗 骸 的 运 负 二 十 b 专 机 进 入 我 国 领 空 四 架 歼 二 零 迎 接 护 航 运 负 二 十 b 呼 号 荣 归 五 十 寓 意 一 九 五 零 年 出 征 的 英 雄 们 光 荣 回 家 歼 二 零 呼 号 红 鹰 代 表 传 承 与 力 量 进 入 领 空 后 两 星 战 机 进 行 空 中 对 话 表 达 对 先 烈 的 深 切 缅 怀 和 崇 高 敬 意 共 同 护 送 英 雄 回 家,
mimo_full_PCP2_0034,full_sentence,MiMo-V2.5-TTS API,PCP2_0034,real_news_000421,confirmed masked,cdrd_entity,military_model,B-2,B二,B杠二,,B杠二,negative_only,False,wrong_or_noncanonical_form_preserved,predefined negative reading occurs at the audited span,揭 秘 AI 军 事 神 话 情 报 追 踪 才 是 关 键 美 国 和 以 色 列 二 月 二 十 八 日 联 合 打 击 伊 朗 致 哈 梅 内 伊 身 亡 行 动 后 网 上 流 传 大 量 文 章 宣 称 这 是 AI 主 导 的 斩 首 行 动 涉 及 帕 兰 提 尔 科 欧 的 模 型 和 安 杜 里 尔 无 人 机 蜂 群 等 但 对 照 公 开 报 道 发 现 这 些 描 述 充 满 技 术 夸 大 和 事 实 曲 解 真 正 的 情 报 突 破 来 自 CIA 数 月 的 人 力 情 报 追 踪 而 非 AI 算 法 行 动 主 要 依 靠 传 统 军 事 力 量 以 色 列 出 动 二 百 架 战 机 美 军 动 用 f 杠 三 五 b 杠 二 轰 炸 机 等 打 击 上 千 目 标 AI 仅 在 情 报 分 析 等 环 节 起 辅 助 作 用 远 非 决 定 性 力 量 杀 死 哈 梅 内 伊 的 是 导 弹 和 情 报 而 非 人 工 智 能,
