item_id,audio_scope,tts_system,probe_candidate_id,case_id,human_audit_outcome,cdrd_label,primary_type,target_span,expected_reading,human_heard_reading,surface_hits,negative_hits,automatic_asr_relation,requires_transcript_review,reviewed_paraformer_relation,transcript_review_note,asr_text,error
mimo_aligned_PCP2_0024,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0024,real_news_000349,confirmed masked,cdrd_entity,sports_score,4-2,四比二,四至二,,,no_predefined_form,True,,,王 曼 玉 四 之 二 逆 转 身 御 兵,
mimo_aligned_PCP2_0026,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0026,real_news_000413,confirmed masked,cdrd_entity,sports_score,0-3,零比三,零至三,,零至三,negative_only,False,,,决 赛 首 回 合 零 至 三 惨 败 水 晶 宫,
mimo_aligned_PCP2_0027,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0027,real_news_000430,confirmed masked,cdrd_entity,sports_score,96-113,九十六比一百一十三,九十六至一百一十三,,九十六至一百一十三,negative_only,False,,,掘 金 以 九 十 六 至 一 百 一 十 三 惨 败,
mimo_aligned_PCP2_0028,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0028,real_news_000439,confirmed masked,cdrd_entity,sports_score,3-0,3比0,3至0,,,no_predefined_form,True,,,中 国 女 足 三 治 零 完 胜 乌 兹 别,
mimo_aligned_PCP2_0029,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0029,real_news_000415,confirmed masked,cdrd_entity,military_model,F-35,F三五,F杠三五,,F杠三五,negative_only,False,,,一 包 括 f 杠 三 五 f 杠 一 五,
mimo_aligned_PCP2_0030,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0030,real_news_000472,confirmed masked,cdrd_entity,military_model,F-15E,F一五E,F杠一五E,,F杠一五E,negative_only,False,,,美 军 一 架 f 杠 一 五 e 战 斗 机 在 对,
mimo_aligned_PCP2_0031,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0031,real_news_000473,confirmed masked,cdrd_entity,military_model,F-15E,F一五E,F杠一五E,,,no_predefined_form,True,,,机 美 军 营 救 被 击 落 f 杠 幺 五 一,
mimo_aligned_PCP2_0032,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0032,real_news_000435,confirmed masked,cdrd_entity,military_model,F-35,F三五,F杠三五,,F杠三五,negative_only,False,,,击 落 美 军 f 杠 三 五 战 机 及 多 架,
mimo_aligned_PCP2_0033,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0033,real_news_000166,confirmed masked,cdrd_entity,military_model,运-20B,运二零B,运负二十B,,,no_predefined_form,True,,,歼 二 零 运 妇 二 十 b 空 中 对 话 护 送,
mimo_aligned_PCP2_0034,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0034,real_news_000421,confirmed masked,cdrd_entity,military_model,B-2,B二,B杠二,,B杠二,negative_only,False,,,共 用 f 杠 三 五 b 杠 二 轰 炸 机 等 打 击,
mimo_aligned_PCP2_0035,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0035,real_news_000405,confirmed masked,cdrd_entity,military_model,F-18,F十八,F杠十八,,,no_predefined_form,True,,,称 击 落 美 军 f 杠 一 八 战 机 美 军,
mimo_aligned_PCP2_0036,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0036,real_news_000009,confirmed masked,cdrd_entity,military_model,伊尔-76,伊尔七六,伊尔负七六,,,no_predefined_form,True,,,零 一 五 年 起 空 军 伊 尔 富 七 十 六 运 输 机 连 续 五 年 接 运 再 到,
mimo_aligned_PCP2_0037,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0037,real_news_000322,confirmed masked,cdrd_entity,military_model,F-16,F16,F杠16,,,no_predefined_form,True,,,属 在 中 东 f 杠 一 六 和 a 杠 一 零,
mimo_aligned_PCP2_0043,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0043,real_news_000376,confirmed masked,cdrd_entity,quarter,58kW,五十八千瓦,五十八KW,,五十八KW,negative_only,False,,,系 统 最 大 功 率 五 十 八 KW 最 高 车 速,
mimo_aligned_PCP2_0056,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0056,real_news_000285,confirmed masked,cdrd_entity,hyphen_range,190N·m,190牛·米,190N·M,,,no_predefined_form,True,,,是 KW 最 大 扭 矩 一 百 九 十 人 弹 腕 驾 驶 体,
mimo_aligned_PCP2_0062,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0062,real_news_000335,confirmed masked,cdrd_entity,hyphen_range,750MW,七百五十兆瓦,七百五十兆W,,七百五十兆W,negative_only,False,,,七 百 五 十 兆 w 规 模 的 siri bars 芯 片,
mimo_aligned_PCP2_0064,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0064,real_news_000140,confirmed masked,cdrd_entity,hyphen_range,737-8,七百三十 八,七三七负八,,七三七负八 | 负,negative_only,False,,,五 十 架 波 音 七 三 七 负 八 机 队 规 模,
mimo_aligned_PCP2_0079,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0079,real_news_000261,confirmed masked,non_cdrd,kw_kwh,640kW,六百四十千瓦,六百四十kw,,六百四十kw,negative_only,False,,,只 充 电 功 率 六 百 四 十 KW 十 分 钟,
mimo_aligned_PCP2_0081,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0081,real_news_000027,confirmed masked,non_cdrd,kw_kwh,105kW,一百零五千瓦,一百零五kW,,一百零五kW,negative_only,False,,,最 大 功 率 一 百 零 五 KW 最 大 扭,
mimo_aligned_PCP2_0082,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0082,real_news_000299,confirmed masked,non_cdrd,kw_kwh,200kW,二百千瓦,二百kW,,二百kW,negative_only,False,,,系 统 提 供 二 百 KW 和 二 百 四 十 k,
mimo_aligned_PCP2_0083,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0083,real_news_000096,confirmed masked,non_cdrd,kw_kwh,230kW,二百三十千瓦,二百三十kW,,二百三十kW,negative_only,False,,,发 动 机 和 二 百 三 十 KW 电 动 机,
mimo_aligned_PCP2_0084,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0084,real_news_000182,confirmed masked,non_cdrd,kw_kwh,150kW,一百五十千瓦,一百五十kw,,一百五十kw,negative_only,False,,,功 率 可 达 一 百 五 十 kw 提 供,
mimo_aligned_PCP2_0085,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0085,real_news_000255,confirmed masked,non_cdrd,kw_kwh,15kW,十五千瓦,十五kW,,十五kW,negative_only,False,,,供 电 功 率 达 十 五 KW,
mimo_aligned_PCP2_0087,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0087,real_news_000368,confirmed masked,non_cdrd,kw_kwh,430kW,四百三十千瓦,四百三十kW,,四百三十kW,negative_only,False,,,最 大 功 率 四 百 三 十 KW 提 供 增,
mimo_aligned_PCP2_0090,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0090,real_news_000289,confirmed masked,non_cdrd,kw_kwh,180kW,180千瓦,180kW,,,no_predefined_form,True,,,升 至 一 百 八 十 KW 申 报 图 显 示,
mimo_aligned_PCP2_0092,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0092,synthetic_004931,confirmed masked,non_cdrd,kw_kwh,500kW,五百千瓦,五百kw,,,no_predefined_form,True,,,新 车 关 键 参 数 达 到 五 百 k,
mimo_aligned_PCP2_0093,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0093,synthetic_004984,confirmed masked,non_cdrd,kw_kwh,500kW,五百千瓦,五百kw,,,no_predefined_form,True,,,新 车 关 键 参 数 达 到 五 百 k,
mimo_aligned_PCP2_0094,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0094,real_news_000243,confirmed masked,cdrd_polyphone,vip88,88VIP,八十八VIP,八十八伏IP,,,no_predefined_form,True,,,同 比 大 增 百 分 之 五 十 六 助 力 八 十 八,
mimo_aligned_PCP2_0102,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0102,real_news_000272,confirmed masked,cdrd_polyphone,voltage,350Wh/kg,三百五十瓦时每公斤,三百五十whkg,,,no_predefined_form,True,,,其 中 固 态 电 池 能 量 密 度 将 达 三 百 五 十 外 拍 DG 续 航 超 一,
mimo_aligned_PCP2_0110,aligned_span_clip,MiMo-V2.5-TTS API,PCP2_0110,real_news_000193,confirmed masked,cdrd_polyphone,tops_compute,6GW,六吉瓦,六GW,,六GW,negative_only,False,,,化 算 力 规 模 约 六 GW 以 累 计 交 付,
