probe_candidate_id,case_id,freeze_id,source,domain,cdrd_label,primary_type,prior_mimo_audit_outcome,cosyvoice_outcome,confidence,target_span_review,expected_reading_review,cosyvoice_heard_reading,mimo_asr_behavior,whisper_asr_behavior,evidence_note,reviewer_note,normalization_note,audio_path,exported_at
PCP2_0037,real_news_000322,P1P2_051,real_news,military,cdrd_entity,military_model,,confirmed masked,high,F-16,F十六,F负十六,writes expected/correct,writes expected/correct,MiMo ASR 写对为 F十六，Whisper ASR写对为 F-16,,,audio/raw_110/PCP2_0037_real_news_000322_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0038,real_news_000296,P1P2_045,real_news,auto,cdrd_entity,generation_label,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0038_real_news_000296_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0039,real_news_000049,P1P2_019,real_news,tech,cdrd_entity,generation_label,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0039_real_news_000049_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0040,real_news_000087,P1P2_023,real_news,finance,cdrd_entity,generation_label,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0040_real_news_000087_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0041,real_news_000139,P1P2_026,real_news,auto,cdrd_entity,generation_label,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0041_real_news_000139_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0042,real_news_000300,P1P2_046,real_news,tech,cdrd_entity,generation_label,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0042_real_news_000300_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0043,real_news_000376,P1P2_060,real_news,auto,cdrd_entity,quarter,confirmed masked,no Raw TTS error,,58kW,五十八千瓦,,,,,,,audio/raw_110/PCP2_0043_real_news_000376_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0044,real_news_000344,P1P2_055,real_news,auto,cdrd_entity,quarter,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0044_real_news_000344_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0045,real_news_000155,P1P2_031,real_news,finance,cdrd_entity,quarter,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0045_real_news_000155_raw.wav,2026-06-14T02:48:46.725Z
PCP2_0046,real_news_000327,P1P2_052,real_news,auto,cdrd_entity,quarter,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0046_real_news_000327_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0047,real_news_000237,P1P2_038,real_news,finance,cdrd_entity,quarter,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0047_real_news_000237_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0048,real_news_000148,P1P2_030,real_news,finance,cdrd_entity,quarter,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0048_real_news_000148_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0049,real_news_000211,P1P2_034,real_news,tech,cdrd_entity,quarter,,confirmed masked,high,2030,二零三十,两千零三十,writes expected/correct,writes expected/correct,MiMo ASR 写对为 二零三十，Whisper AS写对为：2030,,,audio/raw_110/PCP2_0049_real_news_000211_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0050,real_news_000235,P1P2_036,real_news,finance,cdrd_entity,quarter,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0050_real_news_000235_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0051,real_news_000400,P1P2_065,real_news,auto,cdrd_entity,quarter,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0051_real_news_000400_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0052,real_news_000409,P1P2_067,real_news,auto,cdrd_entity,quarter,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0052_real_news_000409_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0053,real_news_000456,P1P2_082,real_news,tech,cdrd_entity,quarter,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0053_real_news_000456_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0054,real_news_000478,P1P2_085,real_news,tech,cdrd_entity,quarter,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0054_real_news_000478_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0055,real_news_000128,P1P2_025,real_news,finance,cdrd_entity,hyphen_range,,confirmed masked,high,55%-60%,百分之五十五至百分之六十,百分之五十五负百分之六十,writes expected/correct,writes expected/correct,MiMo ASR 写对为：百分之五十五至百分之六十；Whisper ASR 写对为：55%-60%,,,audio/raw_110/PCP2_0055_real_news_000128_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0056,real_news_000285,P1P2_044,real_news,auto,cdrd_entity,hyphen_range,confirmed masked,confirmed masked,,190N·m,190牛·米,190Nm,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 190牛米,,,audio/raw_110/PCP2_0056_real_news_000285_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0057,real_news_000319,P1P2_049,real_news,tech,cdrd_entity,hyphen_range,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0057_real_news_000319_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0058,real_news_000022,P1P2_012,real_news,finance,cdrd_entity,hyphen_range,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0058_real_news_000022_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0059,real_news_000196,P1P2_033,real_news,finance,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0059_real_news_000196_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0060,real_news_000018,P1P2_010,real_news,finance,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0060_real_news_000018_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0061,real_news_000141,P1P2_028,real_news,auto,cdrd_entity,hyphen_range,,confirmed masked,high,40-50%,四十到百分之五十,四十减百分之五十,exposes wrong reading,writes expected/correct,Whisper small ASR 写对为：40-50%,,,audio/raw_110/PCP2_0061_real_news_000141_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0062,real_news_000335,P1P2_053,real_news,tech,cdrd_entity,hyphen_range,confirmed masked,confirmed masked,high,2026至2028,二零二六至二零二八年,两千零二十六至二零二八年,writes expected/correct,writes expected/correct,MiMo strict ASR 写对为 二零二六 ，Whisper ASR  写对为 2026,,,audio/raw_110/PCP2_0062_real_news_000335_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0063,real_news_000015,P1P2_009,real_news,finance,cdrd_entity,hyphen_range,,not judgeable,,7%-10%,百分之7至十,百分之7负百分之十,,,,,,audio/raw_110/PCP2_0063_real_news_000015_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0064,real_news_000140,P1P2_027,real_news,general,cdrd_entity,hyphen_range,confirmed masked,confirmed masked,high,737-8,七三七 八,七百三十七减八,exposes wrong reading,writes expected/correct,Whisper ASR 写对为 737-8,,,audio/raw_110/PCP2_0064_real_news_000140_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0065,real_news_000013,P1P2_007,real_news,finance,cdrd_entity,hyphen_range,,confirmed masked,high,2026至2028年,二零二六至二零二八年,二千零二十六至二零二八年,writes expected/correct,writes expected/correct,MiMo ASR 写对为 二零二六至二零二八年， Whisper ASR 写对为 2026-2028年,,,audio/raw_110/PCP2_0065_real_news_000013_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0066,real_news_000077,P1P2_022,real_news,auto,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0066_real_news_000077_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0067,real_news_000005,P1P2_002,real_news,finance,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0067_real_news_000005_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0068,real_news_000014,P1P2_008,real_news,tech,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0068_real_news_000014_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0069,real_news_000001,P1P2_001,real_news,tech,cdrd_entity,hyphen_range,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0069_real_news_000001_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0070,real_news_000006,P1P2_003,real_news,finance,cdrd_entity,hyphen_range,,confirmed masked,high,2023至2025年,二零二三到二零二五年,二千零二十三到二零二五年,writes expected/correct,writes expected/correct,MiMo ASR 写对为 二零二三到二零二五年， Whisper ASR 写对为 2023至2025年,,,audio/raw_110/PCP2_0070_real_news_000006_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0071,real_news_000019,P1P2_011,real_news,finance,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0071_real_news_000019_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0072,real_news_000023,P1P2_013,real_news,finance,cdrd_entity,hyphen_range,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0072_real_news_000023_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0073,real_news_000025,P1P2_014,real_news,finance,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0073_real_news_000025_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0074,real_news_000147,P1P2_029,real_news,finance,cdrd_entity,hyphen_range,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0074_real_news_000147_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0075,real_news_000263,P1P2_039,real_news,auto,cdrd_entity,hyphen_range,,confirmed masked,high,5.5%-7.5%,百分之五点五到百分之七点五,百分之五点五负百分之七点五,writes expected/correct,writes expected/correct,MiMo ASR 写对为  百分之五点五到百分之七点五，Whisper ASR  写对为 5.5%-7.5%,,,audio/raw_110/PCP2_0075_real_news_000263_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0076,real_news_000270,P1P2_040,real_news,general,cdrd_entity,hyphen_range,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0076_real_news_000270_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0077,real_news_000399,P1P2_064,real_news,sports,cdrd_entity,hyphen_range,,confirmed masked,high,3-0,三比零,三减零,writes expected/correct,writes expected/correct,MiMo ASR 写对为  三比零，Whisper ASR  写对为 3-0,,,audio/raw_110/PCP2_0077_real_news_000399_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0078,real_news_000424,P1P2_072,real_news,sports,cdrd_entity,hyphen_range,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0078_real_news_000424_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0079,real_news_000261,P1P2_140,real_news,auto,non_cdrd,kw_kwh,confirmed masked,exposed TTS error,,640kW,六百四十千瓦,,,,,,,audio/raw_110/PCP2_0079_real_news_000261_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0080,real_news_000291,P1P2_104,real_news,auto,cdrd_polyphone,kw_kwh,,confirmed masked,,70kWh,七十千瓦时,七十千瓦h,writes expected/correct,exposes wrong reading,MiMo ASR 写对为  七十千瓦时,,,audio/raw_110/PCP2_0080_real_news_000291_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0081,real_news_000027,P1P2_127,real_news,auto,non_cdrd,kw_kwh,,confirmed masked,high,200N·m,二百牛米,二百nm,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 二百牛米,,"Corrected inconsistent behavior dropdown: evidence_note and MiMo ASR text show 二百牛米, so MiMo ASR masks the CosyVoice reading 二百nm.",audio/raw_110/PCP2_0081_real_news_000027_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0082,real_news_000299,P1P2_143,real_news,auto,non_cdrd,kw_kwh,,confirmed masked,high,57.545kWh,五十七点五四五千瓦时,五十七点五四五千瓦h,writes expected/correct,exposes wrong reading,MiMo ASR 写对：五十七点五四五千瓦时,,,audio/raw_110/PCP2_0082_real_news_000299_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0083,real_news_000096,P1P2_134,real_news,auto,non_cdrd,kw_kwh,,confirmed masked,high,52.1kWh,五十二点一千瓦时,五十二点一千瓦h,writes expected/correct,not informative,MiMo ASR 写对：五十二点一千瓦时,,,audio/raw_110/PCP2_0083_real_news_000096_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0084,real_news_000182,P1P2_136,real_news,auto,non_cdrd,kw_kwh,confirmed masked,exposed TTS error,,150kW,一百五十千瓦,,,,,,,audio/raw_110/PCP2_0084_real_news_000182_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0085,real_news_000255,P1P2_138,real_news,auto,non_cdrd,kw_kwh,confirmed masked,exposed TTS error,,15kW,十五千瓦,,,,,,,audio/raw_110/PCP2_0085_real_news_000255_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0086,real_news_000366,P1P2_150,real_news,auto,non_cdrd,kw_kwh,,confirmed masked,high,500Nm,五百牛米,五零零nm,writes expected/correct,exposes wrong reading,MiMo ASR  写对为 五零零牛米,,,audio/raw_110/PCP2_0086_real_news_000366_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0087,real_news_000368,P1P2_151,real_news,auto,non_cdrd,kw_kwh,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0087_real_news_000368_raw.wav,2026-06-14T02:48:46.726Z
PCP2_0088,real_news_000174,P1P2_094,real_news,auto,cdrd_polyphone,kw_kwh,,confirmed masked,high,113kWh,一百一十三千瓦时,一百一十三千瓦h,writes expected/correct,not informative,MiMo ASR 写对为 一百一十三千瓦时,,,audio/raw_110/PCP2_0088_real_news_000174_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0089,real_news_000185,P1P2_137,real_news,auto,non_cdrd,kw_kwh,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0089_real_news_000185_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0090,real_news_000289,P1P2_142,real_news,auto,non_cdrd,kw_kwh,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0090_real_news_000289_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0091,real_news_000304,P1P2_145,real_news,auto,non_cdrd,kw_kwh,,confirmed masked,high,45.06kWh,四十五点零六千瓦时,四十五点零六千瓦h,writes expected/correct,exposes wrong reading,MiMo ASR 写对为 四十五点零六千瓦时,,,audio/raw_110/PCP2_0091_real_news_000304_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0092,synthetic_004931,P1P2_189,synthetic,auto,non_cdrd,kw_kwh,confirmed masked,no Raw TTS error,,500kW,五百千瓦,,,,,,,audio/raw_110/PCP2_0092_synthetic_004931_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0093,synthetic_004984,P1P2_197,synthetic,auto,non_cdrd,kw_kwh,,no Raw TTS error,,,,,,,,,,audio/raw_110/PCP2_0093_synthetic_004984_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0094,real_news_000243,P1P2_098,real_news,finance,cdrd_polyphone,vip88,confirmed masked,no Raw TTS error,,88VIP,八十八VIP,,,,,,,audio/raw_110/PCP2_0094_real_news_000243_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0095,real_news_000352,P1P2_116,real_news,tech,cdrd_polyphone,voltage,,confirmed masked,high,650V,六百五十伏,六五零v,exposes wrong reading,writes expected/correct,Whisper ASR写对为 650V,,,audio/raw_110/PCP2_0095_real_news_000352_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0096,real_news_000210,P1P2_097,real_news,auto,cdrd_polyphone,voltage,,confirmed masked,high,900V,九百伏,九零零V,exposes wrong reading,writes expected/correct,Whisper ASR 写对为 900V,,,audio/raw_110/PCP2_0096_real_news_000210_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0097,real_news_000259,P1P2_099,real_news,tech,cdrd_polyphone,voltage,,confirmed masked,high,800V,八百伏,八零零V,exposes wrong reading,writes expected/correct,Whisper ASR 写对为 800V,,,audio/raw_110/PCP2_0097_real_news_000259_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0098,real_news_000330,P1P2_111,real_news,auto,cdrd_polyphone,voltage,,exposed TTS error,,,,,,,,,,audio/raw_110/PCP2_0098_real_news_000330_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0099,real_news_000451,P1P2_081,real_news,tech,cdrd_entity,voltage,,uncertain,,,,,,,,,,audio/raw_110/PCP2_0099_real_news_000451_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0100,real_news_000003,P1P2_122,real_news,tech,non_cdrd,voltage,,confirmed masked,high,420V,四百二十伏,四零零V,exposes wrong reading,writes expected/correct,Whisper ASR 写对为  420V,,,audio/raw_110/PCP2_0100_real_news_000003_raw.wav,2026-06-14T02:48:46.727Z
PCP2_0101,real_news_000288,P1P2_141,real_news,auto,non_cdrd,voltage,,confirmed masked,high,900V,九百伏,九零零v,exposes wrong reading,writes expected/correct,Whisper ASR 写对为  900V,,,audio/raw_110/PCP2_0101_real_news_000288_raw.wav,2026-06-14T02:48:46.727Z
