annotation_id,probe_candidate_id,case_id,primary_type,cdrd_label,original_label,blind_label,match,blind_raw_span_correctness,blind_asr_relation,blind_notes,original_raw_tts_actual_reading,original_asr_masking_evidence,original_reviewer_note
BLIND30_018,PCP2_0043,real_news_000376,quarter,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  58kW 为 五十八kW ，fallback default ASR  自动写对为  58kW，MiMo omni strict ASR 自动写对为 五十八千瓦,五十八KW,Raw读错，ASR自动写回58KW,Raw omni strict ASR：主动写对 最大功率五十八千瓦。其他ASR写 58kw
BLIND30_019,PCP2_0005,real_news_000429,sports_score,cdrd_entity,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  13-9 为 十三至九 ，fallback default ASR  自动写对为  13-9,十三至九,Raw TTS读错十三至九，但ASR自动写对13-9。错误发音被ASR自动纠正，因此形成masking。,
BLIND30_020,PCP2_0055,real_news_000128,hyphen_range,cdrd_entity,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_021,PCP2_0004,real_news_000320,sports_score,cdrd_entity,confirmed masked,exposed TTS error,False,wrong,exposes wrong reading,,四减三减,Raw TTS 将“4-3-3”读作“四减三减”，default ASR 仍转写为“4-3-3”，错误发音被ASR自动纠正，因此形成masking。,
BLIND30_022,PCP2_0082,real_news_000299,kw_kwh,non_cdrd,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  200kW 为 二百kW ，fallback default ASR  自动写对为  200kW；MiMo omni strict ASR 自动写对为 二百千瓦,二百kW,Raw读错 二百kW，omni strict ASR 写对 二百千瓦,
BLIND30_023,PCP2_0035,real_news_000405,military_model,cdrd_entity,confirmed masked,exposed TTS error,False,wrong,exposes wrong reading,,F杠十八,Raw 读错 F杠十八 ，default ASR 写对 F-18,
BLIND30_024,PCP2_0002,real_news_000313,sports_score,cdrd_entity,exposed TTS error,uncertain,False,wrong,uncertain,RAW读错  10后 为  十后，但是，ASR自动写为了十号。TTS、ASR都错了。,十号,,TTS读错10后被读作十号。
BLIND30_025,PCP2_0080,real_news_000291,kw_kwh,cdrd_polyphone,exposed TTS error,no Raw TTS error,False,correct,,,,,
BLIND30_026,PCP2_0095,real_news_000352,voltage,cdrd_polyphone,no Raw TTS error,no Raw TTS error,True,correct,,,,,
BLIND30_027,PCP2_0081,real_news_000027,kw_kwh,non_cdrd,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  105kW 为 一百零五kW ，main strict ASR  自动写对为  一百零五KW；MiMo omni strict ASR 自动写对为 一百零五千瓦,一百零五kW,Raw读错 一百零五kW，omni strict ASR 写对 一百零五千瓦,
BLIND30_028,PCP2_0083,real_news_000096,kw_kwh,non_cdrd,confirmed masked,confirmed masked,True,wrong,surface-correct/masked,Raw 读错  230kW 为 二百三十kW ，fallback default ASR 自动写对为  230kW ；MiMo omni strict ASR 自动写对为 二百三十千瓦,二百三十kW,Raw读错 二百三十kW，omni strict ASR 写对 二百三十千瓦,
BLIND30_029,PCP2_0006,real_news_000434,sports_score,cdrd_entity,exposed TTS error,exposed TTS error,True,wrong,exposes wrong reading,,3减5减2,ASR如实写了RawTTS的发音,
BLIND30_030,PCP2_0088,real_news_000174,kw_kwh,cdrd_polyphone,no Raw TTS error,no Raw TTS error,True,correct,,,,,
