review_id,probe_candidate_id,case_id,target,effective_context_reduction,selected_audio_version,selected_clip_sha256,raw_sha256,original_clip_sha256,selected_duration_seconds,interval_start_seconds,interval_end_seconds,full_label,original_clip_label,selected_clip_label,selected_binary_endpoint,full_transcript,original_clip_transcript,selected_clip_transcript,label_basis
B011,PCP2_0102,real_news_000272,350Wh/kg,True,original,702502c4929a84a98dad33366b3ef07a4a8fbac9b61f9038d8184042dd146d3b,396c85212b50f0324c3852d8df8591ba17fc715ac0874e6c970b6bdeec0d5a2e,702502c4929a84a98dad33366b3ef07a4a8fbac9b61f9038d8184042dd146d3b,5.62,31.94,37.56,O,O,O,non-S,易派科技，二零二五年全年销量超二十七万辆，同比增长百分之二十八点三。易派科技公布二零二五年全年销量达二十七万五千七百五十二辆，同比增长百分之二十八点三。公司此前发布未来之翼战略，涵盖天元制仓、天元制价等技术。易派科技计划在二零二六年推出多项创新产品，包括万吨大压铸产品、固态电池和千伏平台车型。其中，固态电池能量密度将达三百五十瓦拍Dg，续航超一千千米。千伏平台车型配备一千二百伏电压和三万转超高速电机，实现五分钟充电四百五十公里续航。,其中，固态电池能量密度将达三百五十瓦拍D G，续航超一。,其中，固态电池能量密度将达三百五十瓦拍D G，续航超一。,Frozen original transcript label; audio hash unchanged
B012,PCP2_0003,real_news_000355,6-2,True,original,1ee02075627bcd072c2a2ae06b8948efcb3b260974352d55e5e14554133fb6c4,fbd43a5a5cc7057922b0715b688bc2e5590d95947aee90294b5dd5cfae416f10,1ee02075627bcd072c2a2ae06b8948efcb3b260974352d55e5e14554133fb6c4,3.0,6.7625,9.7625,S,W,W,non-S,辛纳兹维列夫会师迈阿密四强，迈阿密大师赛男单四强产生，二号种子辛纳以六比二、六比二横扫本土选手迪亚福，全场轰出十四记ACE球，延续大师赛十五连胜和三十盘连赢纪录。三号种子兹维列夫同样发挥出色，以六比一、六比二击败十八号种子塞伦德罗，成为首位二十五次闯入大师赛四强的九零后球员。半决赛两人将再次上演巅峰对决，辛纳目前对兹维列夫保持六连胜。,种子锌钠以六之二，六之二横。,种子锌钠以六之二，六之二横。,Frozen original transcript label; audio hash unchanged
B013,PCP2_0031,real_news_000473,F-15E,True,repaired_r1,5a504c6c9d4ca63fcbe7dedbc29bd02ced0ca3afd8ea5190834824fcbc1d63a9,08ae907b568a5d3ac2235c1c6cfd44dea074eb54a66a686de588ac1a43c07a99,f37942b6f719ab9aad04752cfd54d2b689f6a18a0900ebfaf89665b1e7502b13,7.64,4.78,12.42,S,W,S,S,美军营救飞行员，出动一百五十五架飞机，炸毁两架运输机。美军营救被击落 F-15E 战斗机第二名飞行员的行动持续五十多小时，出动一百五十五架各类飞机和数百名人员。特朗普透露，两架陷入沙地的运输机被迫炸毁，以防先进装备落入伊朗手中。此次行动中，美军一架 A-10 攻击机被击落，多架直升机受损。伊朗搜捕人员一度距飞行员藏身地不到三公里。保守估计，美军在此次行动中的飞机损失超过四亿美元，堪称美国历史上最大胆的搜救行动之一。,美军营救被击落F杠幺五一。,美军营救被击落F-15E战斗机第二名飞行员的行动持续五十多小时，出。,"Exact F-15E at the single target occurrence; assistant transcript check, not a new human listening label"
B014,PCP2_0092,synthetic_004931,500kW,False,repaired_r1,a7c847201e964f496b9fc558b6f68f0489d76d752e67981e1c609c41f8b67a36,a7c847201e964f496b9fc558b6f68f0489d76d752e67981e1c609c41f8b67a36,d7386cdbd29d8e94b535d969c8d2eed4e670852b03f51d69912b3ceb64263255,3.84,0.0,3.84,W,W,W,non-S,新车关键参数达到五百kW。,新车关键参数达到五百k。,新车关键参数达到五百kW。,Original scoring rule: predefined negative-only match (no new human label)
B015,PCP2_0023,real_news_000341,6-2,True,original,2dadb31ceb03361124e644928c2103c119cb12b9122ede9baabbb1785fe9e0ca,4e28a0cd1451f3d93f6234fc4ca2eb9f6fc707ee7d61327e0f057544677d1625,2dadb31ceb03361124e644928c2103c119cb12b9122ede9baabbb1785fe9e0ca,3.0,0.8639583333333334,3.8639583333333336,S,W,W,non-S,吴一泽遭艾伦五连鞭，从六比二被追成七比七，史诗百分中局止颓。斯诺克世锦赛半决赛，吴一泽首阶段六比二领先马克·艾伦，第二阶段吴一泽手感下滑，艾伦连赢五局完成反超，期间轰出单杆一百四十五分，刷新本届世锦赛单杆最高分。绝境中，吴一泽鏖战一百分钟拿下史诗级拉锯局，创造世锦赛正赛最长单局时长纪录，终结连败势头。双方目前七比七战平，第三阶段比赛今天下午十七点继续进行。,艾伦五连鞭从六至二被追成七比七。,艾伦五连鞭从六至二被追成七比七。,Frozen original transcript label; audio hash unchanged
B016,PCP2_0033,real_news_000166,运-20B,True,original,8e25332c05b6758c3a2e684a0b0de6df80d659235609e814e7c05fb52c2e8127,e5a401386cb366d658a2ee3f0160865c0009a52f3ecb7597de6e1f1e6adb60f7,8e25332c05b6758c3a2e684a0b0de6df80d659235609e814e7c05fb52c2e8127,3.3,0.0,3.3,W,W,W,non-S,歼二零运负二十B空中对话护送烈士归国。四月二十二日上午，赴韩接迎第十三批在韩志愿军烈士遗骸的运负二十B专机进入我国领空，四架歼二零迎接护航。运负二十B呼号荣归五十，寓意一九五零年出征的英雄们光荣回家。歼二零呼号红鹰，代表传承与力量。进入领空后，两型战机进行空中对话，表达对先烈的深切缅怀和崇高敬意，共同护送英雄回家。,歼二零运负二十B空中对话护送。,歼二零运负二十B空中对话护送。,Frozen original transcript label; audio hash unchanged
B017,PCP2_0094,real_news_000243,88VIP,True,repaired_r1,fee0060f9c765e52ef65b8cbfc356ec8bbb16d4149e9274ba97a202b91400721,6db4d7cef5203257b0c62f5e3f4afc89131dc21ff8418010cbbc9b00e220b9e8,84414d023c2c4e0fe7cb986d279e2b967c9ecaf982a76eb5f04ff7db8ec670ac,5.08,24.88,29.96,W,O,W,non-S,阿里外卖即时零售盈利目标锁定两年后，阿里巴巴发布二零二五年第四季度财报显示，收入两千八百四十八亿元，同比增长百分之二，该季度净利润一百五十六点三一亿元，同比下降百分之六十六，主要因即时零售投入增加。外卖即时零售业务收入二百零八点四二亿元，同比大增百分之五十六，助力八十八福发一福会员数超五千九百万，实现双位数增长。电商事业群CEO蒋凡表示，预计二零二九财年即时零售业务将实现整体盈利，这意味着阿里还将继续投入两年。阿里云和AI业务也是重点发展方向。集团CEO吴永明提出，未来五年年收入要突破一千亿美元的目标。,同比大增百分之五十六，助力八十八。,同比大增百分之五十六，助力八十八服复发一复会员数超五千。,Author explicitly confirms preserved wrong reading (W) for this new transcript; not a new blind listening annotation
B018,PCP2_0021,real_news_000279,21-17,True,original,5f49738d44a4b06ec70ce556c910c38aa89b53ffd44937518cc10829aaab6b6d,d56a2f948f36fec4f51de241b0d8a2972b1b007f1d6845074a742fa1b85e5b5a,5f49738d44a4b06ec70ce556c910c38aa89b53ffd44937518cc10829aaab6b6d,3.0,16.19333333333333,19.19333333333333,S,W,W,non-S,国羽三比一击败印度，锁定汤杯小组第一。何济霆、任翔宇直落两局奏凯。二零二六汤姆斯杯小组赛中，国羽三比一力克印度队，成功锁定小组第一。何济霆、任翔宇在二双比赛中以二十一比十七、二十一比十三直落两局击败对手。此前，李诗沣、梁伟铿、王昶分别在一单和一双取胜，王洪洋二单失利。明日十六点三十分将进行淘汰赛抽签。另外，汤杯B组日本队三比二险胜马来西亚，以小组第一晋级淘汰赛。,比赛中以二十一至十七，二十一至十。,比赛中以二十一至十七，二十一至十。,Frozen original transcript label; audio hash unchanged
B019,PCP2_0085,real_news_000255,15kW,True,original,5a0c5245c206ca7314fb238be00d2e042dc82501ff8244d1d17b316c1f56c196,507b3bb3f03ee178ef0d02f25374ec690cc4a8180723dda0049094887d54b2c2,5a0c5245c206ca7314fb238be00d2e042dc82501ff8244d1d17b316c1f56c196,3.0,6.1,9.1,S,W,W,non-S,奇瑞携手博世量产48伏整车架构，星途旗舰车型率先搭载供电功率达15kW。奇瑞汽车与博世中国在北京签署48伏整车架构合作开发及量产框架协议，推动新一代48伏整车架构在中国率先量产。该技术将率先应用于星途旗舰车型，整车供电功率提升至15千瓦，系统减重超过十公斤，线控底盘转向电机响应速度提升百分之二十以上。相较传统12伏架构，48伏架构能更好满足现代化车载计算、智能座舱和线控底盘的电力需求。,供电功率达十五kW。,供电功率达十五kW。,Frozen original transcript label; audio hash unchanged
B020,PCP2_0024,real_news_000349,4-2,True,original,18fb93261102f5c82ae12c86f2cac571c798ad669d000df1bc41966ea7c5c695,2a0e70e1b2770c9f61ac55b9291dd91c8bba77e1f08ed2bf33adb4b90807e338,18fb93261102f5c82ae12c86f2cac571c798ad669d000df1bc41966ea7c5c695,3.0,0.0,3.0,S,W,W,non-S,王曼玉四比二逆转胜申裕斌，挺进决赛。北京时间四月五日，二零二六赛季澳门世界杯女单半决赛，二号种子王曼玉对阵韩国一姐申裕斌。比赛中，王曼玉首局十一比八取胜后，连丢两局以一比二落后。随后她果断调整战术，连扳三局，最终以四比二逆转战胜申裕斌，成功晋级决赛。今晚十九点三十分，王曼玉将与头号种子孙颖莎会师决赛，争夺本届澳门世界杯女单冠军。,王曼玉四至二，逆转身，玉斌。,王曼玉四至二，逆转身，玉斌。,Frozen original transcript label; audio hash unchanged
B021,PCP2_0028,real_news_000439,3-0,True,original,5293801a2e19ece3a9c0d8f09a405ac586b362e880e117f7774b877940f1a942,7a435d9ce8043506b964258cd06e198660c40b0522f27557b3e7de43f3e7a7d3,5293801a2e19ece3a9c0d8f09a405ac586b362e880e117f7774b877940f1a942,3.0,7.827333333333334,10.827333333333334,S,W,W,non-S,女足末轮战，朝鲜争夺小组头名。北京时间三月六日，女足亚洲杯小组赛第二轮，中国女足三比零完胜乌兹别克斯坦，提前锁定小组出线。由于朝鲜女足五比零大胜孟加拉国，而中国女足仅以二比零取胜，目前中国女足因净胜球劣势暂列小组第二。小组末轮，中国女足将于北京时间三月九日十七点直接对阵朝鲜女足，获胜即可以小组头名出线。,中国女足三至零完胜乌兹别克。,中国女足三至零完胜乌兹别克。,Frozen original transcript label; audio hash unchanged
B022,PCP2_0083,real_news_000096,230kW,True,original,11a27ca1e5f90f768f63471bccbdc65801a2cfbaea14e42542a2639b04739083,4db8371d59db1962a6c425778a5e8a9526899eba14a55e119b117c361818f77d,11a27ca1e5f90f768f63471bccbdc65801a2cfbaea14e42542a2639b04739083,3.0,30.353,33.353,W,W,W,non-S,智己E L S八官图亮相，纯电续航最高三百三十五公里。智己E L S八官方图片曝光，定位中大型S U V，预计二零二六年第一季度首发。新车延续家族设计语言，配备激光雷达，车身尺寸为五千零八十五毫米、两千毫米、一千八百一十七毫米，轴距三千零六十毫米。动力系统采用增程式，搭载一点五T发动机和二百三十kW电动机，电池提供五十二点一千瓦时和六十五点九千瓦时两种容量，纯电续航最高三百三十五公里。新车将提供五座和六座版本，多种配置可选。,发动机和二百三十kW电动机。,发动机和二百三十kW电动机。,Frozen original transcript label; audio hash unchanged
B023,PCP2_0017,real_news_000011,4-3,True,original,07ef8d349737ee7507177ff0b1953bb59d9b83cef844ded406147ee530049910,a53f0d5c0945ce4baadca3f3d787f0849833c34ee2b6d1a34b29d2d50f55fcaa,07ef8d349737ee7507177ff0b1953bb59d9b83cef844ded406147ee530049910,3.0,0.0,3.0,S,S,S,S,张本美和四比三逆转蒯曼夺WTT第九冠。WTT重庆冠军赛女单决赛中，十七岁的日本选手张本美和以四比三逆转中国选手蒯曼夺得冠军，七局比分为六比十一、十一至九、十一至七、九至十一、六至十一、十一至九、五至十一。这是张本美和首次获得WTT冠军赛冠军，也是其职业生涯第九个WTT冠军。世界排名第五的蒯曼在赛前体能消耗较大，比张本美和多打一轮比赛，且晋级过程中战胜了孙颖莎、王艺迪等强手。决胜局，张本美和以十一至五锁定胜利。,张本美和四比三逆转蒯曼夺。,张本美和四比三逆转蒯曼夺。,Frozen original transcript label; audio hash unchanged
B024,PCP2_0026,real_news_000413,0-3,True,original,2abdd8b537cf439809054f4cb6b0ebb0abd27e4b8d72ad8f173d0ee727dc3f77,daeecc52323dfbf43d446f1382f14ef52540f54a6a67ec198c4504bf5802eb01,2abdd8b537cf439809054f4cb6b0ebb0abd27e4b8d72ad8f173d0ee727dc3f77,3.0,6.54,9.54,W,W,W,non-S,德赫亚复盘惨败水晶宫，强调开局失误致命。佛罗伦萨在欧协联八分之一决赛首回合零至三惨败水晶宫，门将德赫亚赛后复盘指出，球队开局二十至三十分钟表现糟糕，面对英超球队过早丢掉两球是致命失误，中场前第三个失球更让人沮丧。他承认英超在资源和设施上领先意甲，但认为下半场球队表现不错，若能把握进球机会，比赛或有转机。德赫亚表示，次回合将在主场力争三至零逆转，同时强调要专注联赛，尽快远离降级区。,决赛首回合，零至三惨败水晶宫。,决赛首回合，零至三惨败水晶宫。,Frozen original transcript label; audio hash unchanged
B025,PCP2_0027,real_news_000430,96-113,True,original,e45bf55938fd1869cb95adc47926cdf7ad25731036324b695166557641d7f85d,45a5928c7cc3aba01506c27f9d3e3ec58f087a9a918c494c5f66d157eb1c3866,e45bf55938fd1869cb95adc47926cdf7ad25731036324b695166557641d7f85d,3.0,22.67866666666667,25.67866666666667,W,W,W,non-S,阿隆戈登将带伤出战掘金季四客战森林狼，球队一比二落后，盼扳平。北京时间四月二十六日，据ESPN名记Shams报道，掘金大前锋阿隆戈登将带伤复出，出战季后赛首轮第四场客战森林狼的比赛。此前季三比赛中，三十岁的戈登因小腿受伤缺阵，掘金以九十六至一百一十三惨败，目前大比分一比二落后。今天季四比赛，北京时间周日八点三十分开打，对于掘金扳平系列赛至关重要。,掘金以九十六至一百一十三惨败。,掘金以九十六至一百一十三惨败。,Frozen original transcript label; audio hash unchanged
B026,PCP2_0011,real_news_000041,3-6,True,original,c07f1f22040c9419338cbff2a9262a564d0ffbbc55cb71e92c30d7f19f5ce851,b5663e3e9cb649a5e95fc0c7e81f4502f10c190ef277d5d9df94b2998412dbe2,c07f1f22040c9419338cbff2a9262a564d0ffbbc55cb71e92c30d7f19f5ce851,3.0,13.039,16.039,W,W,W,non-S,郑钦文决胜盘二比四落后，连赢四局，罗马站逆转邦达尔晋级次轮。五月五日 WTA 一千罗马站首轮，中国金花郑钦文对阵匈牙利选手邦达尔。郑钦文首盘状态不佳，三至六告负。第二盘一度四比零领先后被追至三比四，最终六至三扳回一城。决胜盘他在二比四落后的危急关头，连胜四局，最终以三至六、六至三、六至四逆转取胜，耗时两小时十八分钟晋级次轮。郑钦文下一轮将对阵赛会三十号种子布克萨。,本首盘状态不佳，三至六告负。第二盘。,本首盘状态不佳，三至六告负。第二盘。,Frozen original transcript label; audio hash unchanged
B027,PCP2_0034,real_news_000421,B-2,True,original,a1fe292a3a36241f65e597b5cac5dac42007944f4af6f9b66cd68bff584da52e,a6c26c6a5c392969ae819991e84101c504f87e66b0ed0d3309557ff5fc965c02,a1fe292a3a36241f65e597b5cac5dac42007944f4af6f9b66cd68bff584da52e,3.0,37.63333333333333,40.63333333333333,S,S,S,S,揭秘 AI 军事神话，情报追踪才是关键。美国和以色列二月二十八日联合打击伊朗，致哈梅内伊身亡。行动后，网上流传大量文章，宣称这是 AI 主导的斩首行动，涉及帕兰提尔 Cloud 模型和安杜里尔无人机蜂群等。但对照公开报道发现，这些描述充满技术夸大和事实曲解。真正的情报突破来自 CIA 数月的人力情报追踪，而非 AI 算法。行动主要依靠传统军事力量，以色列出动二百架战机，美军动用 F-35、B-2 炸机等打击上千目标。AI 只在情报分析等环节起辅助作用，远非决定性力量。杀死哈梅内伊的是导弹和情报，而非人工智能。,动用F-三五B-二轰炸机等打击。,动用F-三五B-二轰炸机等打击。,Frozen original transcript label; audio hash unchanged
B028,PCP2_0015,real_news_000314,2-1,True,original,3ebef624859ef2441d3dc4a93de5ed32084e0da1f5f5a5b4a7fdae8963858ce3,b0fbeb07055bcc917bbf00a703658f2469bff87af8eac57fa9326c55b113dc8b,3ebef624859ef2441d3dc4a93de5ed32084e0da1f5f5a5b4a7fdae8963858ce3,3.0,30.871916666666667,33.871916666666664,S,S,S,S,日本台北晋级越印出局女足亚洲杯，二零二六年女足亚洲杯C组收官，日本女足四比零大胜越南女足，中国台北女足三比一击败印度女足，两队携手晋级八强。日本以九分锁定小组第一，中国台北以六分获得第二，越南和印度出局。至此八强全部产生，中国女足将在四分之一决赛对战中国台北女足，比赛将于三月十四日十三点进行。此前中国女足二比一逆转朝鲜女足获得小组头名，成为首支连续十六次晋级淘汰赛的球队。,此前，中国女足二比一逆转朝鲜女足。,此前，中国女足二比一逆转朝鲜女足。,Frozen original transcript label; audio hash unchanged
B029,PCP2_0008,real_news_000350,10-10,True,original,896d3ce0b675f7f26e273b12077e3e42e26bf4deab8e79bd706db41a26c86ce8,318f0cebaa8d4cc56c100715de9e815560deddb55d5620d7913dc744db5cae43,896d3ce0b675f7f26e273b12077e3e42e26bf4deab8e79bd706db41a26c86ce8,3.0,18.0875,21.0875,W,O,O,non-S,陈幸同连续四局决胜分险胜晋级。北京时间四月三日，澳门世界杯女单八分之一决赛，陈幸同四比二击败迪亚兹晋级八强。二十八岁的陈幸同在二比零领先后被追至二比二，但顽强的在第五六局连续两次关键分十至十后拿下比赛。赛后，陈幸同表示，前两局拿下后有些放松，关键分把握不住，但第五局开始放下心态，自己打自己的，最终锁定胜局。他的下一轮对手将是韩莹与申裕斌之间的胜者。,两次关键分，实质时候拿下比赛。,两次关键分，实质时候拿下比赛。,Frozen original transcript label; audio hash unchanged
B030,PCP2_0020,real_news_000042,4-3,True,original,c3b21896338cda322758f91f79e22c0c772ce9b5dd80bd6da2603f0130638d30,65c5552f785541cf1d0e1987d77dbf9e421148f6ec0750066d58542ae3a1e3e1,c3b21896338cda322758f91f79e22c0c772ce9b5dd80bd6da2603f0130638d30,3.0,14.015,17.015,W,W,W,non-S,活塞一比三落后，抢七逆转魔术晋级，坎宁安场均三十六加七加，创队史二十三年神迹。北京时间五月四日，NBA季后赛活塞主场一百一十六比九十四大胜魔术，大比分四至三晋级次轮，成为历史第十五支一比三落后逆转晋级的球队。坎宁安系列赛场均三十二点四分，五点七篮板，七点一助攻，在一比三落后时，场均砍下三十六点三分，乱队完成抢七逆转。这是活塞自二零零三年后，时隔二十三年再次一比三落后魔术逆转，也是球队二零零八年后首次赢得系列赛并晋级次轮。,魔术大比分四至三晋级次轮，成为。,魔术大比分四至三晋级次轮，成为。,Frozen original transcript label; audio hash unchanged
